Rank,Model,Wins,Ties,Total_Pairs,Win_Rate,Overall_Score,Aesthetics_Score,Technical_Score,Alignment_Score
1,Seedream4.0,9226,2155,12750,0.8081,80.8,82.1,79.3,81.1
2,Seedream3.1,8388,2335,12750,0.7495,74.9,76.6,73.4,74.9
3,kling-v2-1,7847,2344,12750,0.7074,70.7,71.6,69.2,71.4
4,FLUX.1-Krea-dev,6949,2262,13131,0.6153,61.5,61.2,61.4,62.0
5,stable-diffusion-3.5-large,6886,2312,13116,0.6131,61.3,60.3,63.5,60.2
6,playground,6383,2114,13170,0.5649,56.5,56.8,57.4,55.3
7,Juggernaut-XL-v8,5960,2318,13176,0.5403,54.0,53.8,55.5,52.7
8,Kolors,6000,1981,13110,0.5332,53.3,54.8,57.1,48.1
9,Qwen-Image,5576,2355,13161,0.5131,51.3,51.3,50.3,52.4
10,stable-diffusion-xl-base-1.0,5482,2426,13119,0.5103,51.0,50.6,50.9,51.6
11,Z-Image,5534,2246,13146,0.5064,50.6,49.6,49.5,52.8
12,CogView4-6B,5420,2244,13107,0.4991,49.9,49.5,50.5,49.7
13,SSD-1B,5007,2515,13161,0.476,47.6,46.8,47.9,48.1
14,LCM_Dreamshaper_v7,3908,1982,13131,0.3731,37.3,38.6,40.4,32.9
15,Z-Image-Turbo,2645,1716,13158,0.2662,26.6,26.1,24.6,29.2
16,Janus,2415,2131,13125,0.2652,26.5,25.5,24.6,29.4
17,stable-diffusion-v1-5,2273,2177,13149,0.2556,25.6,25.0,25.1,26.6
18,PixArt,1907,2119,13134,0.2259,22.6,22.4,21.5,23.9
